idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
91399,90,8,Yes,Dansk Folkeparti - Danish People's Party,1972,50,Male,1950,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,Not applicable,Not applicable,68
91566,210,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",2015,60,Male,1996,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,8,8,Not applicable,Not applicable,79
91652,210,9,Yes,Alternativet - The Alternative,1975,Should never retire permanently,Male,1958,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,41,41,37000,Not applicable,73
91684,105,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1995,Never too young,Male,1978,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,40,40,30000,Not applicable,66
91727,15,9,Yes,Kristendemokraterne - Christian Democrats,1986,60,Male,1967,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",3,37,37,30000,Not applicable,46
91790,180,5,Yes,Refusal,1979,60,Female,1962,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",12,37,40,32000,Not applicable,55
91877,240,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1980,45,Male,1961,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16,37,37,67000,Not applicable,42
91949,30,4,Yes,Dansk Folkeparti - Danish People's Party,1965,60,Male,1945,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",6,38,47,Not applicable,Not applicable,152
91969,600,Most people can be trusted,Yes,Socialdemokratiet - The Social democrats,1993,50,Female,1977,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17,40,40,51000,Not applicable,67
91992,180,4,Yes,Dansk Folkeparti - Danish People's Party,2009,55,Male,1989,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,Not applicable,60,35000,Not applicable,40
92063,60,1,Yes,Socialdemokratiet - The Social democrats,1989,Never too young,Male,1972,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,34,48500,Not applicable,76
92064,300,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1997,18,Male,1977,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,37,37,57400,45000,47
