"idno","ppltrst","happy","cgtsday","alcfreq","height","weight","gndr","yrbrn"
"227",925038,"8","7",NA,"Several times a week",168,63,"Female",1968
"228",925046,"7","9",10,"Several times a week",169,74,"Female",1960
"229",925054,"8","7",4,"Once a month",170,66,"Female",1975
"230",925062,"6","9",NA,"Once a month",174,108,"Male",1977
"231",925088,"4","Extremely happy",NA,"Once a week",178,86,"Female",1944
"232",925096,"6","9",NA,"Less than once a month",179,78.6,"Male",1996
"233",925101,"6","5",9,"Once a week",176,83,"Male",1990
"234",925119,"8","8",NA,"Several times a week",168,57,"Female",1971
"235",925127,"5","9",NA,"Never",163,62,"Female",1989
"236",925143,"4","8",NA,"2-3 times a month",168,66,"Female",1956
"237",925169,"7","7",NA,"2-3 times a month",174,64,"Male",1933
"238",925177,"5","Extremely happy",13,"Every day",164,74,"Female",1957
"239",925185,"9","9",NA,"Once a month",167,54,"Female",1974
"240",925193,"6","8",1,"Once a week",189,75,"Male",1996
"241",925216,"6","9",NA,"Several times a week",168,102,"Female",1958
"242",925224,"5","2",30,"Less than once a month",173,58,"Female",1967
"243",925232,"5","9",NA,"Once a month",168,50,"Male",1998
"244",925240,"8","9",NA,"2-3 times a month",184,110,"Male",1939
"245",925258,"7","7",NA,"Once a week",179,99,"Male",1967
"246",925274,"4","6",NA,"2-3 times a month",174,89,"Male",1955
"247",925282,"6","7",NA,"Several times a week",163,59,"Female",1938
"248",925290,"7","9",NA,"Several times a week",177,90,"Male",1951
"249",925305,"9","9",NA,"Several times a week",180,86,"Male",1947
"250",925313,"8","9",NA,"Once a week",187,135,"Male",1955
"251",925355,"3","8",NA,"Less than once a month",175,82,"Male",1962
"252",925371,"5","9",NA,"",162,70,"Female",1938
"253",925397,"8","9",NA,"Several times a week",188,99,"Male",1964
"254",925402,"Most people can be trusted","8",NA,"2-3 times a month",166,56,"Female",1976
"255",925410,"4","8",NA,"Several times a week",156,60,"Female",1969
"256",925509,"8","8",NA,"Every day",170,65,"Male",1968
"257",925525,"8","Extremely happy",NA,"Every day",156,50,"Female",1939
"258",925533,"5","Extremely happy",NA,"Several times a week",190,95,"Male",1984
"259",925541,"8","8",NA,"Less than once a month",180,114,"Male",1980
"260",925559,"7","Extremely happy",NA,"Once a week",186,105,"Male",1996
"261",925567,"6","Extremely happy",NA,"2-3 times a month",152,76,"Female",1937
"262",925575,"9","9",NA,"Several times a week",158,57,"Female",1939
"263",925583,"4","9",NA,"Less than once a month",169,65,"Female",1994
"264",925591,"7","9",NA,"2-3 times a month",164,53,"Female",1958
"265",925606,"8","9",14,"Once a week",176,104,"Male",1955
"266",925614,"5","9",NA,"Never",168,102,"Female",1971
"267",925622,"8","8",NA,"Every day",157,70,"Female",1946
"268",925656,"6","9",NA,"Several times a week",168,67,"Male",1966
"269",925680,"8","Extremely happy",NA,"Several times a week",164,69,"Female",1944
"270",925703,"8","5",NA,"2-3 times a month",165,60,"Female",1975
"271",925745,"7","8",20,"Once a month",168,65,"Female",1957
"272",925753,"7","7",0,"Less than once a month",168,67,"Female",1988
"273",925761,"8","9",NA,"Less than once a month",188,77,"Male",1987
"274",925787,"7","9",20,"Less than once a month",175,80,"Female",1949
"275",925795,"8","9",2,"Once a week",178,85,"Female",1964
"276",925826,"7","9",NA,"2-3 times a month",171,64,"Female",1989
"277",925876,"8","6",10,"Several times a week",189,80,"Male",1970
"278",925884,"5","9",NA,"Never",173,81,"Male",1990
"279",925923,"6","8",NA,"Several times a week",177,79,"Female",1964
"280",925999,"3","7",NA,"Less than once a month",180,67,"Male",1961
